03-23-2022	mo	VERSION: 2020_01_31

Temperatursteuerung:	automatisch (ILX-TEC) (AD590: 0.0,1.0,0.855)
Anfangstemperatur /°C:	30.1
Delta-Temperatur /°C:	5.0
Endtemperatur /°C:	30.1
Anzahl der Temperaturen:	1
aktuelle Temperatur-Nr:	1
aktuelle Temperatur /°C:	30.1

Stromquelle:	LDD5060	U_Messung
Startstrom /mA:	250.0
d-Strom /mA:	10.0
Maximalstrom /mA:	700.0
Anzahl der Ströme:	46
aktuelle Strom-Nr:
aktueller Strom /mA:
Art:	CW	keinePolarisation



Einstellspannung (E3631A_P6V): 0.5 ( 0.25) 1.5 V ; 0.75 V


Messfassungsnr.:	C030652










Messgeraet:	Autokorrelator




















Projektnummer:	9618
Projektverantwortlicher:	Wohlfeil
Lasertyp:	TPL
Wafer:	R1268-4
TF/Riegel/Chip:	070709
Prozess:	Z1-9581-TRA
Beschichtung:	Z1-9648-FAC
AVT-Losdokument:	Z2-2654-LCM

Laenge /µm:	6000
Breite /µm:	400
Lambda /nm:	820
Aufbauart:	p-up
Traegerart:	Chip
Traeger-Nr.:	C030652
Diodenname:	070709
Absorber /mA:	








Kommentar:	Scanrange 50ps

Current (mA)	Zeit (ps)	Intensity	Tau	C_absorber (A)	Temperature (deg.C)
250.0	0.195312	8	0.0	0.086316	29.84
250.0	0.390625	8	0.0	0.086316	29.84
250.0	0.585938	8	0.0	0.086316	29.84
250.0	0.78125	8	0.0	0.086316	29.84
250.0	0.976562	8	0.0	0.086316	29.84
250.0	1.171875	8	0.0	0.086316	29.84
250.0	1.367188	8	0.0	0.086316	29.84
250.0	1.5625	8	0.0	0.086316	29.84
250.0	1.757812	8	0.0	0.086316	29.84
250.0	1.953125	4	0.0	0.086316	29.84
250.0	2.148438	8	0.0	0.086316	29.84
250.0	2.34375	8	0.0	0.086316	29.84
250.0	2.539062	8	0.0	0.086316	29.84
250.0	2.734375	8	0.0	0.086316	29.84
250.0	2.929688	8	0.0	0.086316	29.84
250.0	3.125	8	0.0	0.086316	29.84
250.0	3.320312	8	0.0	0.086316	29.84
250.0	3.515625	8	0.0	0.086316	29.84
250.0	3.710938	8	0.0	0.086316	29.84
250.0	3.90625	8	0.0	0.086316	29.84
250.0	4.101562	8	0.0	0.086316	29.84
250.0	4.296875	8	0.0	0.086316	29.84
250.0	4.492188	8	0.0	0.086316	29.84
250.0	4.6875	8	0.0	0.086316	29.84
250.0	4.882812	8	0.0	0.086316	29.84
250.0	5.078125	8	0.0	0.086316	29.84
250.0	5.273438	8	0.0	0.086316	29.84
