03-22-2022	mo	VERSION: 2020_01_31

Temperatursteuerung:	automatisch (ILX-TEC) (AD590: 0.0,1.0,0.855)
Anfangstemperatur /°C:	30.1
Delta-Temperatur /°C:	5.0
Endtemperatur /°C:	30.1
Anzahl der Temperaturen:	1
aktuelle Temperatur-Nr:	1
aktuelle Temperatur /°C:	30.1

Stromquelle:	LDD5060	U_Messung
Startstrom /mA:	150.0
d-Strom /mA:	10.0
Maximalstrom /mA:	700.0
Anzahl der Ströme:	56
aktuelle Strom-Nr:
aktueller Strom /mA:
Art:	CW	keinePolarisation



Einstellspannung (E3631A_P6V): 0.0 ( 0.25) 3.0 V ; 0.75 V


Messfassungsnr.:	C030652







Messgeraet:	GENTEC	Head:	XLP12-3S-H2-D0	Wellenlaenge /nm:	820	Averages:	1	Attenuator:	ON	Auto Scale:	ON	Rezero:	ON	SerialNumber:	and not fo    























Projektnummer:	9618
Projektverantwortlicher:	Wohlfeil
Lasertyp:	TPL
Wafer:	R1268-4
TF/Riegel/Chip:	070709
Prozess:	Z1-9581-TRA
Beschichtung:	Z1-9648-FAC
AVT-Losdokument:	Z2-2654-LCM

Laenge /µm:	6000
Breite /µm:	400
Lambda /nm:	820
Aufbauart:	p-up
Traegerart:	Chip
Traeger-Nr.:	C030652
Diodenname:	070709
Absorber /mA:	








Kommentar:	

Current_K (mA)	Power (mW)	Voltage_K (V)	C_absorber (A)	Temperature (deg.C)
150.0	-2.17435	1.59454	0.086316	29.96
160.0	-0.628897	1.60276	0.086316	29.96
170.0	-0.224557	1.61067	0.086316	29.96
180.0	-0.003523	1.61836	0.086316	29.96
190.0	-0.01872	1.62597	0.086316	29.96
200.0	0.038132	1.63335	0.086316	29.96
210.0	0.130925	1.64058	0.086316	29.96
220.0	0.312448	1.64774	0.086316	29.96
230.0	23.7967	1.64804	0.086316	29.98
240.0	27.7912	1.65405	0.086316	29.96
250.0	31.6601	1.66014	0.086316	29.96
260.0	35.35	1.66608	0.086316	29.96
270.0	40.2606	1.67156	0.086316	29.98
280.0	46.108	1.67719	0.086316	29.97
290.0	60.0685	1.68069	0.086316	29.98
300.0	65.6986	1.68617	0.086316	29.99
310.0	70.8154	1.6918	0.086316	29.98
320.0	76.6159	1.69728	0.086316	29.98
330.0	83.1339	1.70268	0.086316	29.97
340.0	89.9299	1.70809	0.086316	29.98
350.0	97.0136	1.71341	0.086316	29.98
360.0	104.037	1.71882	0.086316	29.98
370.0	111.367	1.72407	0.086316	29.99
380.0	118.901	1.7294	0.086316	29.97
390.0	126.537	1.73472	0.086316	29.98
400.0	134.284	1.73998	0.086316	29.98
410.0	141.983	1.74523	0.086316	29.98
420.0	148.17	1.75048	0.086316	29.98
430.0	154.241	1.75573	0.086316	29.99
440.0	160.519	1.76106	0.086316	29.99
450.0	166.385	1.76616	0.086316	29.99
460.0	170.431	1.77125	0.086316	29.99
470.0	175.101	1.7762	0.086316	29.98
480.0	180.941	1.78145	0.086316	29.99
490.0	187.194	1.78655	0.086316	29.99
500.0	193.135	1.79173	0.086316	29.99
510.0	199.188	1.79698	0.086316	29.99
520.0	205.139	1.80208	0.086316	29.98
530.0	210.292	1.80725	0.086316	29.99
540.0	206.21	1.81197	0.086316	29.99
550.0	213.893	1.81692	0.086316	29.99
560.0	221.474	1.82186	0.086316	29.99
570.0	228.786	1.82689	0.086316	29.99
580.0	235.701	1.83183	0.086316	29.99
590.0	242.503	1.83686	0.086316	29.99
600.0	249.025	1.8418	0.086316	29.99
610.0	254.965	1.84683	0.086316	29.99
620.0	260.547	1.85185	0.086316	29.99
630.0	265.389	1.85672	0.086316	29.99
640.0	269.921	1.86174	0.086316	29.99
650.0	277.254	1.86676	0.086316	30.0
660.0	285.661	1.87171	0.086316	29.99
670.0	294.011	1.87658	0.086316	30.0
680.0	302.515	1.8816	0.086316	29.99
690.0	311.158	1.8864	0.086316	30.0
700.0	319.737	1.89142	0.086316	30.0
