03-22-2022	mo	VERSION: 2020_01_31

Temperatursteuerung:	automatisch (ILX-TEC) (AD590: 0.0,1.0,0.855)
Anfangstemperatur /°C:	30.1
Delta-Temperatur /°C:	5.0
Endtemperatur /°C:	30.1
Anzahl der Temperaturen:	1
aktuelle Temperatur-Nr:	1
aktuelle Temperatur /°C:	30.1

Stromquelle:	LDD5060	U_Messung
Startstrom /mA:	190.0
d-Strom /mA:	10.0
Maximalstrom /mA:	700.0
Anzahl der Ströme:	52
aktuelle Strom-Nr:
aktueller Strom /mA:
Art:	CW	keinePolarisation



Einstellspannung (E3631A_P6V): 0.0 ( 0.25) 3.0 V ; 0.75 V


Messfassungsnr.:	C030652








Messgeraet:	Q8384 (ADVANTEST)
Messgeraet:	FSUP/FSW





















Projektnummer:	9618
Projektverantwortlicher:	Wohlfeil
Lasertyp:	TPL
Wafer:	R1268-4
TF/Riegel/Chip:	070709
Prozess:	Z1-9581-TRA
Beschichtung:	Z1-9648-FAC
AVT-Losdokument:	Z2-2654-LCM

Laenge /µm:	6000
Breite /µm:	400
Lambda /nm:	820
Aufbauart:	p-up
Traegerart:	Chip
Traeger-Nr.:	C030652
Diodenname:	070709
Absorber /mA:	








Kommentar:	

Current (mA)	Frequency (GHz)	Intensity (dBm)	C_absorber (A)	Temperature (deg.C)
190.0	0.0	-46.5225	0.086231	30.0
190.0	0.003	-58.4845	0.086231	30.0
190.0	0.006	-63.2868	0.086231	30.0
190.0	0.009	-62.8187	0.086231	30.0
190.0	0.012	-63.1152	0.086231	30.0
190.0	0.015	-64.1430	0.086231	30.0
190.0	0.018	-62.5174	0.086231	30.0
190.0	0.021	-59.3658	0.086231	30.0
190.0	0.024	-62.9842	0.086231	30.0
190.0	0.027	-62.0732	0.086231	30.0
190.0	0.03	-64.7713	0.086231	30.0
190.0	0.033	-71.5463	0.086231	30.0
190.0	0.036	-74.7326	0.086231	30.0
190.0	0.039	-79.2969	0.086231	30.0
190.0	0.042	-78.1215	0.086231	30.0
190.0	0.045	-80.8309	0.086231	30.0
190.0	0.048	-80.0234	0.086231	30.0
190.0	0.051	-81.2432	0.086231	30.0
190.0	0.054	-79.9112	0.086231	30.0
190.0	0.057	-76.3625	0.086231	30.0
190.0	0.06	-75.7271	0.086231	30.0
190.0	0.063	-78.7024	0.086231	30.0
190.0	0.066	-81.1576	0.086231	30.0
190.0	0.069	-81.5640	0.086231	30.0
190.0	0.072	-78.6394	0.086231	30.0
190.0	0.075	-82.5792	0.086231	30.0
190.0	0.078	-82.4935	0.086231	30.0
190.0	0.081	-84.1656	0.086231	30.0
190.0	0.084	-83.0238	0.086231	30.0
190.0	0.087	-83.2428	0.086231	30.0
190.0	0.09	-81.4352	0.086231	30.0
190.0	0.093	-83.1365	0.086231	30.0
190.0	0.096	-81.4137	0.086231	30.0
190.0	0.099	-82.0370	0.086231	30.0
190.0	0.102	-81.9390	0.086231	30.0
190.0	0.105	-80.9399	0.086231	30.0
190.0	0.108	-77.9855	0.086231	30.0
190.0	0.111	-81.5571	0.086231	30.0
190.0	0.114	-81.0273	0.086231	30.0
190.0	0.117	-81.1054	0.086231	30.0
190.0	0.12	-82.8419	0.086231	30.0
190.0	0.123	-80.7290	0.086231	30.0
190.0	0.126	-82.4047	0.086231	30.0
190.0	0.129	-82.2193	0.086231	30.0
190.0	0.132	-79.9671	0.086231	30.0
190.0	0.135	-81.8335	0.086231	30.0
190.0	0.138	-82.4134	0.086231	30.0
190.0	0.141	-81.3674	0.086231	30.0
190.0	0.144	-84.1458	0.086231	30.0
190.0	0.147	-79.2227	0.086231	30.0
190.0	0.15	-81.2477	0.086231	30.0
190.0	0.153	-82.1757	0.086231	30.0
190.0	0.156	-82.1524	0.086231	30.0
190.0	0.159	-83.0685	0.086231	30.0
190.0	0.162	-83.6112	0.086231	30.0
190.0	0.165	-83.9190	0.086231	30.0
190.0	0.168	-80.4268	0.086231	30.0
190.0	0.171	-81.8170	0.086231	30.0
190.0	0.174	-83.1618	0.086231	30.0
190.0	0.177	-82.3977	0.086231	30.0
190.0	0.18	-84.2493	0.086231	30.0
190.0	0.183	-81.4282	0.086231	30.0
190.0	0.186	-82.2618	0.086231	30.0
190.0	0.189	-82.8000	0.086231	30.0
190.0	0.192	-84.4476	0.086231	30.0
190.0	0.195	-82.7600	0.086231	30.0
190.0	0.198	-80.2887	0.086231	30.0
190.0	0.201	-80.6582	0.086231	30.0
190.0	0.204	-82.4261	0.086231	30.0
190.0	0.207	-80.1328	0.086231	30.0
190.0	0.21	-82.8810	0.086231	30.0
190.0	0.213	-82.8300	0.086231	30.0
190.0	0.216	-81.6711	0.086231	30.0
190.0	0.219	-82.0006	0.086231	30.0
190.0	0.222	-83.6540	0.086231	30.0
190.0	0.225	-84.5777	0.086231	30.0
190.0	0.228	-81.9147	0.086231	30.0
190.0	0.231	-81.8321	0.086231	30.0
190.0	0.234	-84.8206	0.086231	30.0
190.0	0.237	-83.0468	0.086231	30.0
190.0	0.24	-82.0923	0.086231	30.0
190.0	0.243	-84.5779	0.086231	30.0
190.0	0.246	-82.1336	0.086231	30.0
190.0	0.249	-83.4815	0.086231	30.0
190.0	0.252	-83.1380	0.086231	30.0
190.0	0.255	-83.6059	0.086231	30.0
190.0	0.258	-83.2079	0.086231	30.0
190.0	0.261	-81.4283	0.086231	30.0
190.0	0.264	-84.4610	0.086231	30.0
190.0	0.267	-84.3164	0.086231	30.0
190.0	0.27	-81.4070	0.086231	30.0
190.0	0.273	-82.4755	0.086231	30.0
190.0	0.276	-83.2400	0.086231	30.0
190.0	0.279	-82.5551	0.086231	30.0
190.0	0.282	-83.5321	0.086231	30.0
190.0	0.285	-83.6368	0.086231	30.0
190.0	0.288	-82.5781	0.086231	30.0
190.0	0.291	-84.2617	0.086231	30.0
190.0	0.294	-82.6748	0.086231	30.0
190.0	0.297	-84.7209	0.086231	30.0
190.0	0.3	-82.6747	0.086231	30.0
190.0	0.303	-83.9053	0.086231	30.0
190.0	0.306	-82.2188	0.086231	30.0
190.0	0.309	-83.1806	0.086231	30.0
190.0	0.312	-84.4415	0.086231	30.0
190.0	0.315	-83.9218	0.086231	30.0
190.0	0.318	-83.8477	0.086231	30.0
190.0	0.321	-85.0978	0.086231	30.0
190.0	0.324	-84.6469	0.086231	30.0
190.0	0.327	-82.8585	0.086231	30.0
190.0	0.33	-83.2076	0.086231	30.0
190.0	0.333	-84.2740	0.086231	30.0
190.0	0.336	-84.4374	0.086231	30.0
190.0	0.339	-83.0217	0.086231	30.0
190.0	0.342	-83.1038	0.086231	30.0
190.0	0.345	-82.4312	0.086231	30.0
190.0	0.348	-85.7796	0.086231	30.0
190.0	0.351	-81.7430	0.086231	30.0
190.0	0.354	-82.1510	0.086231	30.0
190.0	0.357	-84.8447	0.086231	30.0
190.0	0.36	-83.0220	0.086231	30.0
190.0	0.363	-82.4456	0.086231	30.0
190.0	0.366	-83.0618	0.086231	30.0
190.0	0.369	-82.2176	0.086231	30.0
190.0	0.372	-82.5698	0.086231	30.0
190.0	0.375	-81.6537	0.086231	30.0
190.0	0.378	-83.6833	0.086231	30.0
190.0	0.381	-83.3143	0.086231	30.0
190.0	0.384	-83.1250	0.086231	30.0
190.0	0.387	-81.1309	0.086231	30.0
190.0	0.39	-83.1342	0.086231	30.0
190.0	0.393	-85.0852	0.086231	30.0
190.0	0.396	-81.8861	0.086231	30.0
190.0	0.399	-83.9853	0.086231	30.0
190.0	0.402	-84.3423	0.086231	30.0
190.0	0.405	-85.4785	0.086231	30.0
190.0	0.408	-83.4438	0.086231	30.0
190.0	0.411	-83.8142	0.086231	30.0
190.0	0.414	-83.5116	0.086231	30.0
190.0	0.417	-82.5540	0.086231	30.0
190.0	0.42	-79.9995	0.086231	30.0
190.0	0.423	-83.7746	0.086231	30.0
190.0	0.426	-82.7616	0.086231	30.0
190.0	0.429	-84.0018	0.086231	30.0
190.0	0.432	-86.2947	0.086231	30.0
190.0	0.435	-82.4530	0.086231	30.0
190.0	0.438	-79.7613	0.086231	30.0
190.0	0.441	-83.4964	0.086231	30.0
190.0	0.444	-83.5552	0.086231	30.0
190.0	0.447	-83.4384	0.086231	30.0
190.0	0.45	-83.8573	0.086231	30.0
190.0	0.453	-82.4460	0.086231	30.0
190.0	0.456	-83.5604	0.086231	30.0
190.0	0.459	-84.3664	0.086231	30.0
190.0	0.462	-84.7446	0.086231	30.0
190.0	0.465	-84.7721	0.086231	30.0
190.0	0.468	-82.9468	0.086231	30.0
190.0	0.471	-83.1376	0.086231	30.0
190.0	0.474	-80.8322	0.086231	30.0
190.0	0.477	-81.8544	0.086231	30.0
190.0	0.48	-84.4150	0.086231	30.0
190.0	0.483	-82.3525	0.086231	30.0
190.0	0.486	-85.4532	0.086231	30.0
190.0	0.489	-86.7763	0.086231	30.0
190.0	0.492	-86.6314	0.086231	30.0
190.0	0.495	-84.9346	0.086231	30.0
190.0	0.498	-83.8332	0.086231	30.0
190.0	0.501	-84.2176	0.086231	30.0
190.0	0.504	-79.7077	0.086231	30.0
190.0	0.507	-82.6760	0.086231	30.0
190.0	0.51	-84.0651	0.086231	30.0
190.0	0.513	-82.8329	0.086231	30.0
190.0	0.516	-84.0684	0.086231	30.0
190.0	0.519	-82.9354	0.086231	30.0
190.0	0.522	-84.6461	0.086231	30.0
190.0	0.525	-84.4263	0.086231	30.0
190.0	0.528	-87.5416	0.086231	30.0
190.0	0.531	-82.2281	0.086231	30.0
190.0	0.534	-84.9463	0.086231	30.0
190.0	0.537	-84.2578	0.086231	30.0
190.0	0.54	-83.9113	0.086231	30.0
190.0	0.543	-85.3672	0.086231	30.0
190.0	0.546	-86.8487	0.086231	30.0
190.0	0.549	-85.2784	0.086231	30.0
190.0	0.552	-83.1541	0.086231	30.0
190.0	0.555	-84.2832	0.086231	30.0
190.0	0.558	-84.9818	0.086231	30.0
190.0	0.561	-85.2177	0.086231	30.0
190.0	0.564	-86.7027	0.086231	30.0
190.0	0.567	-84.5467	0.086231	30.0
190.0	0.57	-84.2902	0.086231	30.0
190.0	0.573	-85.4202	0.086231	30.0
190.0	0.576	-84.1681	0.086231	30.0
190.0	0.579	-85.5039	0.086231	30.0
190.0	0.582	-85.1867	0.086231	30.0
190.0	0.585	-86.8129	0.086231	30.0
190.0	0.588	-85.0763	0.086231	30.0
190.0	0.591	-84.7738	0.086231	30.0
190.0	0.594	-84.7321	0.086231	30.0
190.0	0.597	-83.9336	0.086231	30.0
190.0	0.6	-83.3704	0.086231	30.0
190.0	0.603	-85.2044	0.086231	30.0
190.0	0.606	-85.7947	0.086231	30.0
190.0	0.609	-84.1752	0.086231	30.0
190.0	0.612	-84.6877	0.086231	30.0
190.0	0.615	-83.4644	0.086231	30.0
190.0	0.618	-85.3297	0.086231	30.0
190.0	0.621	-86.1325	0.086231	30.0
190.0	0.624	-84.7143	0.086231	30.0
190.0	0.627	-83.7825	0.086231	30.0
190.0	0.63	-83.0797	0.086231	30.0
190.0	0.633	-86.3095	0.086231	30.0
190.0	0.636	-87.4871	0.086231	30.0
190.0	0.639	-83.4761	0.086231	30.0
190.0	0.642	-84.5403	0.086231	30.0
190.0	0.645	-84.9430	0.086231	30.0
190.0	0.648	-87.4148	0.086231	30.0
190.0	0.651	-85.1164	0.086231	30.0
190.0	0.654	-85.5308	0.086231	30.0
190.0	0.657	-85.5448	0.086231	30.0
190.0	0.66	-84.0354	0.086231	30.0
190.0	0.663	-88.4178	0.086231	30.0
190.0	0.666	-86.6016	0.086231	30.0
190.0	0.669	-86.2120	0.086231	30.0
190.0	0.672	-87.1415	0.086231	30.0
