03-22-2022	mo	VERSION: 2020_01_31

Temperatursteuerung:	automatisch (ILX-TEC) (AD590: 0.0,1.0,0.855)
Anfangstemperatur /°C:	30.1
Delta-Temperatur /°C:	5.0
Endtemperatur /°C:	30.1
Anzahl der Temperaturen:	1
aktuelle Temperatur-Nr:	1
aktuelle Temperatur /°C:	30.1

Stromquelle:	LDD5060	U_Messung
Startstrom /mA:	190.0
d-Strom /mA:	10.0
Maximalstrom /mA:	700.0
Anzahl der Ströme:	52
aktuelle Strom-Nr:
aktueller Strom /mA:
Art:	CW	keinePolarisation



Einstellspannung (E3631A_P6V): 0.0 ( 0.25) 3.0 V ; 0.75 V


Messfassungsnr.:	C030652








Messgeraet:	Q8384 (ADVANTEST)
Messgeraet:	FSUP/FSW





















Projektnummer:	9618
Projektverantwortlicher:	Wohlfeil
Lasertyp:	TPL
Wafer:	R1268-4
TF/Riegel/Chip:	070709
Prozess:	Z1-9581-TRA
Beschichtung:	Z1-9648-FAC
AVT-Losdokument:	Z2-2654-LCM

Laenge /µm:	6000
Breite /µm:	400
Lambda /nm:	820
Aufbauart:	p-up
Traegerart:	Chip
Traeger-Nr.:	C030652
Diodenname:	070709
Absorber /mA:	








Kommentar:	

Current (mA)	Wavelength (nm)	Intensity	C_absorber (A)	Temperature (deg.C)
190.0	800.0	-60.83	0.086231	30.0
190.0	800.05	-56.391	0.086231	30.0
190.0	800.1	-62.133	0.086231	30.0
190.0	800.15	-58.661	0.086231	30.0
190.0	800.2	-60.67	0.086231	30.0
190.0	800.25	-59.354	0.086231	30.0
190.0	800.3	-58.415	0.086231	30.0
190.0	800.35	-61.148	0.086231	30.0
190.0	800.4	-66.38	0.086231	30.0
190.0	800.45	-60.154	0.086231	30.0
190.0	800.5	-60.181	0.086231	30.0
190.0	800.55	-58.08	0.086231	30.0
190.0	800.6	-63.925	0.086231	30.0
190.0	800.65	-63.163	0.086231	30.0
190.0	800.7	-56.497	0.086231	30.0
190.0	800.75	-59.938	0.086231	30.0
190.0	800.8	-60.18	0.086231	30.0
190.0	800.85	-76.269	0.086231	30.0
190.0	800.9	-59.713	0.086231	30.0
190.0	800.95	-59.608	0.086231	30.0
190.0	801.0	-60.822	0.086231	30.0
190.0	801.05	-60.296	0.086231	30.0
190.0	801.1	-76.286	0.086231	30.0
190.0	801.15	-54.921	0.086231	30.0
190.0	801.2	-60.509	0.086231	30.0
190.0	801.25	-57.292	0.086231	30.0
190.0	801.3	-57.889	0.086231	30.0
190.0	801.35	-63.265	0.086231	30.0
190.0	801.4	-60.878	0.086231	30.0
190.0	801.45	-68.621	0.086231	30.0
190.0	801.5	-57.969	0.086231	30.0
190.0	801.55	-63.349	0.086231	30.0
190.0	801.6	-60.472	0.086231	30.0
190.0	801.65	-58.167	0.086231	30.0
190.0	801.7	-59.487	0.086231	30.0
190.0	801.75	-61.921	0.086231	30.0
190.0	801.8	-57.434	0.086231	30.0
190.0	801.85	-61.398	0.086231	30.0
190.0	801.9	-61.378	0.086231	30.0
190.0	801.95	-57.413	0.086231	30.0
190.0	802.0	-60.528	0.086231	30.0
190.0	802.05	-60.483	0.086231	30.0
190.0	802.1	-66.372	0.086231	30.0
190.0	802.15	-59.091	0.086231	30.0
190.0	802.2	-59.407	0.086231	30.0
190.0	802.25	-59.071	0.086231	30.0
190.0	802.3	-60.864	0.086231	30.0
190.0	802.35	-59.503	0.086231	30.0
190.0	802.4	-61.18	0.086231	30.0
190.0	802.45	-65.12	0.086231	30.0
190.0	802.5	-57.132	0.086231	30.0
190.0	802.55	-62.206	0.086231	30.0
190.0	802.6	-62.516	0.086231	30.0
190.0	802.65	-60.612	0.086231	30.0
190.0	802.7	-64.316	0.086231	30.0
190.0	802.75	-61.748	0.086231	30.0
190.0	802.8	-61.065	0.086231	30.0
190.0	802.85	-61.845	0.086231	30.0
190.0	802.9	-76.409	0.086231	30.0
190.0	802.95	-60.547	0.086231	30.0
190.0	803.0	-61.711	0.086231	30.0
190.0	803.05	-63.969	0.086231	30.0
190.0	803.1	-59.818	0.086231	30.0
190.0	803.15	-61.487	0.086231	30.0
190.0	803.2	-57.948	0.086231	30.0
190.0	803.25	-67.633	0.086231	30.0
190.0	803.3	-61.007	0.086231	30.0
190.0	803.35	-57.542	0.086231	30.0
190.0	803.4	-61.118	0.086231	30.0
190.0	803.45	-61.365	0.086231	30.0
190.0	803.5	-59.794	0.086231	30.0
190.0	803.55	-59.612	0.086231	30.0
190.0	803.6	-60.247	0.086231	30.0
190.0	803.65	-59.318	0.086231	30.0
190.0	803.7	-64.004	0.086231	30.0
190.0	803.75	-57.824	0.086231	30.0
190.0	803.8	-59.679	0.086231	30.0
190.0	803.85	-62.064	0.086231	30.0
190.0	803.9	-58.43	0.086231	30.0
190.0	803.95	-76.481	0.086231	30.0
190.0	804.0	-57.988	0.086231	30.0
190.0	804.05	-62.295	0.086231	30.0
190.0	804.1	-63.523	0.086231	30.0
190.0	804.15	-60.6	0.086231	30.0
190.0	804.2	-58.439	0.086231	30.0
190.0	804.25	-60.821	0.086231	30.0
190.0	804.3	-59.815	0.086231	30.0
190.0	804.35	-61.066	0.086231	30.0
190.0	804.4	-59.478	0.086231	30.0
190.0	804.45	-57.954	0.086231	30.0
190.0	804.5	-57.303	0.086231	30.0
190.0	804.55	-61.983	0.086231	30.0
190.0	804.6	-58.04	0.086231	30.0
190.0	804.65	-61.968	0.086231	30.0
190.0	804.7	-58.184	0.086231	30.0
190.0	804.75	-62.407	0.086231	30.0
190.0	804.8	-57.317	0.086231	30.0
190.0	804.85	-58.179	0.086231	30.0
190.0	804.9	-62.037	0.086231	30.0
190.0	804.95	-64.6	0.086231	30.0
190.0	805.0	-63.391	0.086231	30.0
190.0	805.05	-64.32	0.086231	30.0
190.0	805.1	-63.831	0.086231	30.0
190.0	805.15	-56.891	0.086231	30.0
190.0	805.2	-66.815	0.086231	30.0
190.0	805.25	-58.073	0.086231	30.0
190.0	805.3	-57.092	0.086231	30.0
190.0	805.35	-58.528	0.086231	30.0
190.0	805.4	-59.3	0.086231	30.0
190.0	805.45	-60.955	0.086231	30.0
190.0	805.5	-64.685	0.086231	30.0
190.0	805.55	-61.676	0.086231	30.0
190.0	805.6	-66.839	0.086231	30.0
190.0	805.65	-58.191	0.086231	30.0
190.0	805.7	-63.052	0.086231	30.0
190.0	805.75	-62.478	0.086231	30.0
190.0	805.8	-63.654	0.086231	30.0
190.0	805.85	-59.268	0.086231	30.0
190.0	805.9	-57.923	0.086231	30.0
190.0	805.95	-61.654	0.086231	30.0
190.0	806.0	-65.506	0.086231	30.0
190.0	806.05	-56.836	0.086231	30.0
190.0	806.1	-59.191	0.086231	30.0
190.0	806.15	-58.199	0.086231	30.0
190.0	806.2	-59.521	0.086231	30.0
190.0	806.25	-61.379	0.086231	30.0
190.0	806.3	-60.721	0.086231	30.0
190.0	806.35	-58.717	0.086231	30.0
190.0	806.4	-62.288	0.086231	30.0
190.0	806.45	-62.224	0.086231	30.0
190.0	806.5	-58.715	0.086231	30.0
190.0	806.55	-76.661	0.086231	30.0
190.0	806.6	-76.664	0.086231	30.0
190.0	806.65	-57.765	0.086231	30.0
190.0	806.7	-59.185	0.086231	30.0
190.0	806.75	-57.574	0.086231	30.0
190.0	806.8	-61.749	0.086231	30.0
190.0	806.85	-69.912	0.086231	30.0
190.0	806.9	-60.793	0.086231	30.0
190.0	806.95	-66.355	0.086231	30.0
190.0	807.0	-64.594	0.086231	30.0
190.0	807.05	-59.769	0.086231	30.0
190.0	807.1	-61.473	0.086231	30.0
190.0	807.15	-58.93	0.086231	30.0
190.0	807.2	-59.186	0.086231	30.0
190.0	807.25	-62.164	0.086231	30.0
190.0	807.3	-58.726	0.086231	30.0
190.0	807.35	-58.778	0.086231	30.0
190.0	807.4	-58.403	0.086231	30.0
190.0	807.45	-65.915	0.086231	30.0
190.0	807.5	-60.928	0.086231	30.0
190.0	807.55	-59.895	0.086231	30.0
190.0	807.6	-59.155	0.086231	30.0
190.0	807.65	-59.423	0.086231	30.0
190.0	807.7	-60.643	0.086231	30.0
190.0	807.75	-57.75	0.086231	30.0
190.0	807.8	-63.729	0.086231	30.0
190.0	807.85	-60.246	0.086231	30.0
190.0	807.9	-59.432	0.086231	30.0
190.0	807.95	-59.319	0.086231	30.0
190.0	808.0	-58.917	0.086231	30.0
190.0	808.05	-58.393	0.086231	30.0
190.0	808.1	-62.756	0.086231	30.0
190.0	808.15	-57.28	0.086231	30.0
190.0	808.2	-57.793	0.086231	30.0
190.0	808.25	-57.829	0.086231	30.0
190.0	808.3	-65.927	0.086231	30.0
190.0	808.35	-60.818	0.086231	30.0
190.0	808.4	-60.025	0.086231	30.0
190.0	808.45	-58.573	0.086231	30.0
190.0	808.5	-59.483	0.086231	30.0
190.0	808.55	-60.915	0.086231	30.0
190.0	808.6	-59.903	0.086231	30.0
190.0	808.65	-63.77	0.086231	30.0
190.0	808.7	-71.106	0.086231	30.0
190.0	808.75	-62.827	0.086231	30.0
190.0	808.8	-61.696	0.086231	30.0
190.0	808.85	-59.313	0.086231	30.0
190.0	808.9	-65.321	0.086231	30.0
190.0	808.95	-56.671	0.086231	30.0
190.0	809.0	-63.128	0.086231	30.0
190.0	809.05	-60.53	0.086231	30.0
190.0	809.1	-59.752	0.086231	30.0
190.0	809.15	-59.504	0.086231	30.0
190.0	809.2	-58.718	0.086231	30.0
190.0	809.25	-59.221	0.086231	30.0
190.0	809.3	-59.154	0.086231	30.0
